,암호화카드번호,버스노선ID1,버스노선ID2,버스노선ID3,버스노선ID4,버스노선ID5,총통행거리,총탑승시간,총소요시간,승차역ID1,승차역ID2,승차역ID3,승차역ID4,승차역ID5,하차역ID1,하차역ID2,하차역ID3,하차역ID4,하차역ID5,최초승차일시,최종하차일시,최초승차역ID,최종하차역ID,총이용금액,수집건수,총이용객수,사용자구분
31806,900511174743,720-2,30,7800,,,12560,30,30,4170925.0,4116671.0,4130338.0,,,,,,,,20180703194950,20180703211201 ,4170925.0,4179349.0,2400,3,1,1
31810,900512323418,720-1,340-1,88,,,3820,16,16,4100451.0,4100461.0,4179306.0,,,,,,,,20180703151050,20180703155454 ,4100451.0,4110216.0,1250,3,1,1
31811,900026613659,7,20,202,,,17420,51,51,4176943.0,4100024.0,4170271.0,,,,,,,,20180703093149,20180703110037 ,4176943.0,4176943.0,1450,3,1,1
31813,900506784646,720-2,66,3,,,6150,24,24,4116900.0,4116922.0,4108071.0,,,,,,,,20180703122440,20180703130441 ,4116900.0,4116789.0,1250,3,1,1
31815,900506805162,13-5,82-2,92,,,3330,10,10,4122215.0,4116959.0,4105381.0,,,,,,,,20180703142545,20180703150656 ,4122215.0,4105382.0,1250,3,1,1
31821,900142637740,30-1,62-1,99-2,,,9950,27,27,4102831.0,4108187.0,4100126.0,,,,,,,,20180703134925,20180703144922 ,4102831.0,4108170.0,1250,3,1,1
31823,900498283767,62-1,3,777,,,5150,24,24,4100144.0,4108070.0,4113658.0,,,,,,,,20180703163402,20180703172521 ,4100144.0,4100145.0,1250,3,1,1
31825,900351739893,3,2007,1117,,,41610,60,60,4116788.0,4100116.0,4199895.0,,,,,,,,20180703062620,20180703074817 ,4116788.0,4112506.0,2700,3,1,1
31826,900351739893,1117,2007,3,,,41810,64,64,4112505.0,4199895.0,4170096.0,,,,,,,,20180703185217,20180703201401 ,4112505.0,4116789.0,2700,3,1,1
31829,900351740660,900,700-2,1007,,,47790,102,102,4108221.0,4100138.0,4105624.0,,,,,,,,20180703052845,20180703072551 ,4108221.0,4117121.0,2800,3,1,1
31831,900138275993,9-1,202,32-4,,,5360,18,18,4116756.0,4108053.0,4116833.0,,,,,,,,20180703180936,20180703184808 ,4116756.0,4122332.0,1250,3,1,1
31834,900138280534,92,7-1,900,,,5980,17,17,4107929.0,4122214.0,4108110.0,,,,,,,,20180703202627,20180703214008 ,4107929.0,4122215.0,1250,3,1,1
31836,900526021053,15,8-2,301,,,12340,43,43,4116626.0,4101465.0,4100154.0,,,,,,,,20180703174846,20180703184539 ,4116626.0,4108147.0,1350,3,1,1
31838,900512717652,5,20,90-1,,,19880,51,51,4100117.0,4117268.0,4176941.0,,,,,,,,20180703052921,20180703064157 ,4100117.0,4199984.0,1450,3,1,1
31841,900510540623,13-4,720-1,720-3,,,10120,26,26,4112031.0,4116897.0,4116894.0,,,,,,,,20180703215051,20180703223343 ,4112031.0,4108040.0,1350,3,1,1
31844,900492848170,66-4,720-1A,98,,,13450,35,35,4111877.0,4116875.0,4108218.0,,,,,,,,20180703224152,20180704001003 ,4111877.0,4116754.0,1350,3,1,1
31847,900496800593,8,7-1,7001,,,40360,84,84,4170343.0,4108045.0,4117242.0,,,,,,,,20180703083640,20180703100537 ,4170343.0,4103285.0,2700,3,1,1
31848,900518073191,98,13-5,708,,,7670,22,22,4108221.0,4108035.0,4130121.0,,,,,,,,20180703070418,20180703075645 ,4108221.0,4170327.0,1250,3,1,1
31851,900513896510,8,116-2,702,,,9550,34,34,4176975.0,4130401.0,4121994.0,,,,,,,,20180703174420,20180703183211 ,4176975.0,4121999.0,1250,3,1,1
31854,900080444595,9,63-1,1112,,,33730,59,59,4116952.0,4108216.0,4116882.0,,,,,,,,20180703073114,20180703084003 ,4116952.0,4199199.0,2500,3,1,1
31856,900497317712,300,8409,1001,,,59410,103,103,4100100.0,4100126.0,4177325.0,,,,,,,,20180703180216,20180703195458 ,4100100.0,4114399.0,3200,3,1,1
31857,900497321722,777,98,700-2,,,3420,15,15,4100118.0,4108183.0,4170099.0,,,,,,,,20180703124013,20180703131049 ,4100118.0,4116842.0,1250,3,1,1
31860,900497421662,9,13,5,,,7280,32,32,4117280.0,4107929.0,4122215.0,,,,,,,,20180703180910,20180703190501 ,4117280.0,4120001.0,1250,3,1,1
31862,900497436622,5,37,3,,,3140,14,14,4108134.0,4116717.0,4116792.0,,,,,,,,20180703125745,20180703133053 ,4108134.0,4116822.0,1250,3,1,1
31866,900497436847,13-4,62-1,112,,,10370,43,43,4116940.0,4108065.0,4108071.0,,,,,,,,20180703145759,20180703161938 ,4116940.0,4116718.0,1350,3,1,1
31868,900398176650,15,116-1,116-2,,,14310,47,47,4122791.0,4122786.0,4130056.0,,,,,,,,20180703223545,20180704002141 ,4122791.0,4179327.0,1350,3,1,1
31869,900399271487,112,301,700-2,,,10490,36,36,4116745.0,4108183.0,4170094.0,,,,,,,,20180703072247,20180703080610 ,4116745.0,4117035.0,1350,3,1,1
31872,900094995168,51,720-2,820,,,8160,24,24,4100554.0,4110254.0,4179223.0,,,,,,,,20180703215545,20180703222602 ,4100554.0,4199414.0,1250,3,1,1
31874,900094999404,13-1,92,13,,,8020,30,30,4108226.0,4108054.0,4170093.0,,,,,,,,20180703144354,20180703152804 ,4108226.0,4116962.0,1250,3,1,1
31876,900526032386,11-2,7770,13-5,,,32020,58,58,4103240.0,4103279.0,4122214.0,,,,,,,,20180703055825,20180703070931 ,4103240.0,4197261.0,2500,3,1,1
31880,900515243705,720-2,720-1,13-1,,,6390,22,22,4121364.0,4116898.0,4114462.0,,,,,,,,20180703202404,20180703205845 ,4121364.0,4160315.0,1250,3,1,1
31882,900526034010,720-2,33-1,520,,,14270,48,48,4111742.0,4100653.0,4179208.0,,,,,,,,20180703221043,20180703231032 ,4111742.0,4174192.0,1350,3,1,1
31885,900352291327,3000,2-1,98,,,33440,62,62,4100717.0,4107933.0,4116755.0,,,,,,,,20180703222319,20180703235740 ,4100717.0,4116755.0,2500,3,1,1
31889,900343028459,3,13,7-1,,,13530,55,55,4116882.0,4107936.0,4160249.0,,,,,,,,20180703121035,20180703132616 ,4116882.0,4107942.0,1350,3,1,1
31894,900496825671,720-3,700-2,98,,,18210,66,66,4197563.0,4150144.0,4107937.0,,,,,,,,20180703135807,20180703151247 ,4197563.0,4108152.0,1450,3,1,1
31900,900102745401,92-1,720-2,11-1,,,10260,44,44,4105381.0,4107928.0,4170102.0,,,,,,,,20180703094224,20180703110257 ,4105381.0,4105380.0,1350,3,1,1
31901,900512441622,17,2007,3,,,35060,61,61,4100504.0,4100385.0,4100140.0,,,,,,,,20180703100211,20180703111347 ,4100504.0,4116835.0,2600,3,1,1
31903,900512441622,3,2007,17-1,,,34640,62,62,4170102.0,4100140.0,4100385.0,,,,,,,,20180703144027,20180703160055 ,4170102.0,4100504.0,2500,3,1,1
