정류소명,no
대우3차아파트.궐동,1076
모아포스코아파트,139
농수산물시장.포일단지입구,41
영통구청,393
구운동주민센터.서수원도서관,930
신안아파트.글로벌도서관,1168
광교호수마을.LH휴먼시아,342
동양파라곤,39
한화꿈에그린,334
상록.경남아파트.이주택지,1676
농수산물센터,525
한일초교,150
민속촌입구,237
죽전동성2차아파트,389
세류사거리.세류2동주민센터,1296
서부공영차고지(경유),303
현대홈타운.풍림아파트,527
광교호수마을.LH휴먼시아,1162
구갈초등학교,14
대우아파트,855
무궁화코오롱.건영아파트,475
운암주공5단지,983
반도5차,220
죽미마을입구,1217
오산대역.금암동입구,862
화성중앙병원.발안초등학교,753
서둔동차고지(경유),9
엘림복지원,32
효성초등학교,619
상공회의소.수성고교,425
한솔프라자,555
진흥아파트,448
예당마을.롯데캐슬(중),1004
초입마을.삼익풍림동아아파트,1053
봉담휴먼빌아파트,742
수원출입국사무소.살구골공원.영통역3번출구,596
진안동,957
황계동,63
상록마을(임광.보성).미켈란쉐르빌,635
안양예술공원,226
수직리,46
동천동현대홈타운1차아파트,78
우방한솔아파트,144
신미주아파트,57
센트럴파크,441
화서위브하늘채,380
평택시외버스터미널,170
세류3동주민센터.버드내노인복지회관,1784
매교역4번출구.경기도박치료센터,363
호반베르디움.롯데캐슬,593
수지구청.수지우체국.롯데마트,73
현대아이파크10단지,790
수지구청역,1418
한진아파트,441
세류2동주민센터,1477
반월리큰고개,2636
병점입구.화남아파트.병점육교,1210
영통입구,1217
서원말.심곡서원.상현지구대.금호.현대아파트,842
풍덕고교.성원아파트.현대아파트.지역난방공사,117
병점역후문,477
우남블루존아파트,514
동수원세무소.영통역2번출구,945
부흥고등학교.임광아파트,164
삼성아파트,304
목련마을,231
청솔주공6단지,231
푸른마을,650
천천리검문소,123
농수산물시장,414
오매장터.다나병원,388
참누리아파트.기산중학교,643
수성중사거리,303
서수원터미널.이마트,808
호수마을아파트.그린빌12단지,32
금정역.서진산업,230
우남아파트,394
풍성신미주아파트(중),289
삼성아파트입구,17
합정동주공3단지후문,15
고려냉동.고려냉장,41
평택역.AKPLAZA,242
칠보초등학교,237
매탄주공4단지,937
상기리입구,205
미금역.2001아울렛,1616
야탑역.종합버스터미널(전면),762
대림아파트.양산도서관앞,198
롯데마트,55
정자3동주민센터,98
신양아파트사거리,262
동문아파트.삼성2차아파트.동부아파트,369
율전성당.성균관대역,1444
곡반정동입구,758
서호중학교,125
모아.반도아파트,950
풍림아파트,668
매원중학교,465
서둔동,607
현대홈타운,358
서천마을3단지,78
구운중학교,1126
신영통현대타운.두산위브,1600
농서리,693
영통구청,1221
반도3.금강,783
SK스카이뷰.SK아트리움,1750
수원시청.수원일자리센터,850
권선시장앞,331
우남아파트,341
신한아파트,39
서천마을입구,110
수원아이파크5단지.곡정초등학교,63
벽산블루밍아파트,1225
파장시장입구,475
신일우남아파트,425
남한산성입구역.법원검찰청,181
고등동주민센터,471
미영아파트,279
자유총연맹,261
수원시청사거리.윌스기념병원,379
운암주공1단지.운천중학교,652
용인운전면허시험장,270
용현주공아파트.306보충대,2
태안119안전센터,30
재래시장앞,444
호계사거리.호계전통시장,512
대광아파트,103
화서문로터리,1859
삼성1차.보원.건영아파트,355
통계청.태평역,72
신동아파밀리에,92
죽현마을.단국대학교입구,639
상현마을현대2차아이파크,454
한신대스쿨버스정류장,120
세교중심상가앞,744
수원역환승센터(5승강장),150
대림아파트.양산도서관앞,181
이마트.삼성명가.성원아파트,196
경기도박물관입구,365
엘지아파트.금강아파트,573
병점입구.병점육교.화남아파트,1718
동탄차고지,203
우방아파트.한화아파트.SK아파트,267
삼성아파트.현대모닝싸이드아파트,306
벽적골주공아파트,1169
관악타운,411
다은마을(중),2420
백현동행정복지센터,592
산의초등학교.광교삼성래미안,156
성호아파트,303
서동탄역,10
신명스카이뷰.우미린,137
율전초교,35
가온마을4단지,182
갤럭시웨딩부페,521
우남퍼스트빌,498
예당마을.롯데캐슬(중),1163
진흥아파트,440
한림대성심병원,158
파밀리에(아).인계동주민센터,1064
신명아파트,531
삼환아파트,1057
상록수역앞,766
한빛마을.석우중학교(중),1264
평택터미널,23
축산물유통센터입구,820
수원KT위즈파크.행정동우회관,1216
KT동수원지사,737
매탄초교,1370
원천주공2단지,981
칠보마을5단지,104
평성교회.호정타워,30
매홀중학교,70
팔탄공단앞,2
KEB하나은행발안지점,330
부처내,63
안양역,177
신구대학.향군회관,351
성남중원경찰서,431
남한산성입구역.법원검찰청,364
신동단독택지,931
세평지하도,68
주공10.11단지,432
수원산업단지,410
상대원시장.국민은행,784
반월3통,283
세미초등학교,409
월드반도.노작마을,162
문화예술회관.고용복지플러스센터,329
안화고등학교,136
선일초등학교.수원아이파크시티,90
평생교육학습관.남수원중학교.온수골,321
죽현마을.단국대학교입구,394
스파팰리스리가아파트,22
구운동강남아파트,397
동천동현대홈타운1차아파트,222
세권사거리,268
장미아파트.버드내도서관,1094
삼성아파트,403
교육청사거리,131
숙지중고교.서호공원,644
마도사거리,106
금암제2공원.12단지,60
남촌,201
풍림아파트,188
한신아파트,325
병점고등학교,171
궐리사.대우아파트,352
벼락바위,1
안용중학교.현충탑,238
구성역,81
농천교회,582
세원아파트,269
동탄이마트.한림대병원,440
삼성삼거리,1088
매교역6번출구.문화맨션,412
청구1차아파트,670
가족여성회관.이춘택병원.해움미술관.수원농협,2605
동문아파트,818
삼성1차.보원.건영아파트,532
신동단독택지,198
곡반중학교,1901
수원센트럴타운2단지.세류동성당,128
동탄이마트.한림대병원,1244
주공1.2단지,372
동신아파트,908
죽전초중고교.대현초교,358
농협.홈플러스,27
매향동,371
물푸레마을7.8.9단지,61
경기동부보훈지청,267
둔전초등학교,33
흥덕마을2단지,103
신구대학.향군회관,195
청솔한라아파트.롯데마트,405
삼익아파트,328
세류2동주민센터,655
벽산블루밍아파트,363
호계삼거리,135
광명경영회계고교,6
쌍동리경기주유소.광주하남예비군훈련장,3
도촌북로입구,99
문학1리,51
두곡리,17
구운사거리,204
